[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,240,1150,45,80,1855,30,245,185,5,195,360,385
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,5,0,0,0,0,0,20,430,0,0,380,110
Volume,420,0,0,0,0,0,0,0,0,0,0,0,0
Volume,440,0,0,0,0,0,0,0,0,0,0,0,0
Volume,200,0,0,0,0,0,0,0,445,0,0,380,0
Volume,130,40,40,185,40,25,45,185,450,115,195,530,75
Volume,400,0,0,0,0,0,0,0,0,0,0,0,0
Volume,430,0,0,0,0,0,0,0,0,0,0,0,0
Volume,450,0,0,0,0,0,0,0,0,0,0,0,0
Volume,120,0,0,0,105,0,185,0,265,5,40,340,0
