[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,410,1680,45,50,1530,85,80,355,45,220,390,130
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,40,0,25,0,0,0,5,445,0,0,465,20
Volume,420,0,0,0,0,0,0,0,0,0,0,0,0
Volume,440,0,0,0,0,0,0,0,0,0,0,0,0
Volume,200,0,0,0,0,0,0,0,450,0,0,490,0
Volume,130,105,40,285,90,35,50,250,505,45,85,615,45
Volume,400,0,0,0,0,0,0,0,0,0,0,0,0
Volume,430,0,0,0,0,0,0,0,0,0,0,0,0
Volume,450,0,0,0,0,0,0,0,0,0,0,0,0
Volume,120,0,0,0,25,0,60,0,390,80,140,350,0
