[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,395,980,15,35,1315,70,60,190,15,195,375,140
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,10,0,0,0,0,0,0,255,0,0,415,10
Volume,420,0,0,0,0,0,0,0,0,0,0,0,0
Volume,440,0,0,0,0,0,0,0,0,0,0,0,0
Volume,200,0,0,0,0,0,0,0,255,0,0,420,0
Volume,130,20,15,5,110,10,10,140,440,10,40,550,30
Volume,400,0,0,0,0,0,0,0,0,0,0,0,0
Volume,430,0,0,0,0,0,0,0,0,0,0,0,0
Volume,450,0,0,0,0,0,0,0,0,0,0,0,0
Volume,120,0,0,0,25,0,80,0,180,35,90,330,0
