[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,280,1395,180,150,2295,35,610,520,110,205,515,415
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,5,0,5,0,0,0,20,1235,0,0,675,110
Volume,420,0,0,0,0,0,0,0,0,0,0,0,0
Volume,440,0,0,0,0,0,0,0,0,0,0,0,0
Volume,200,0,5,0,65,25,220,0,1035,35,135,550,0
Volume,130,40,40,185,40,25,45,185,520,115,195,615,75
Volume,400,0,0,0,0,0,0,0,0,0,0,0,0
Volume,430,0,0,0,0,0,0,0,0,0,0,0,0
Volume,450,0,0,0,0,0,0,0,0,0,0,0,0
Volume,120,0,5,0,155,10,300,0,765,20,65,545,0
