[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,595,2745,245,190,1880,100,305,740,195,320,875,185
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,40,0,30,0,0,0,5,1195,0,0,1285,20
Volume,420,0,0,0,0,0,0,0,0,0,0,0,0
Volume,440,0,0,0,0,0,0,0,0,0,0,0,0
Volume,200,0,25,0,105,15,335,0,865,145,310,1010,0
Volume,130,105,40,285,90,35,50,250,735,45,85,890,45
Volume,400,0,0,0,0,0,0,0,0,0,0,0,0
Volume,430,0,0,0,0,0,0,0,0,0,0,0,0
Volume,450,0,0,0,0,0,0,0,0,0,0,0,0
Volume,120,0,10,0,45,5,125,0,870,135,210,905,0
