[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,570,1615,140,125,1600,85,210,415,105,285,745,205
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,10,0,5,0,0,0,0,725,0,0,1005,10
Volume,420,0,0,0,0,0,0,0,0,0,0,0,0
Volume,440,0,0,0,0,0,0,0,0,0,0,0,0
Volume,200,0,15,0,70,10,220,0,505,95,200,810,0
Volume,130,20,15,5,110,10,10,140,640,10,40,795,30
Volume,400,0,0,0,0,0,0,0,0,0,0,0,0
Volume,430,0,0,0,0,0,0,0,0,0,0,0,0
Volume,450,0,0,0,0,0,0,0,0,0,0,0,0
Volume,120,0,5,0,40,5,120,0,465,70,135,740,0
