[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,280,80,100,0,0,275,0,1100,5,40,625,0
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,0,0,0,0,0,0,0,1105,0,0,725,0
Volume,420,0,0,0,0,0,0,0,0,0,0,0,0
Volume,440,0,0,0,0,0,0,0,0,0,0,0,0
Volume,200,5,5,0,65,25,80,20,1020,30,75,545,110
Volume,130,40,40,185,40,25,45,185,520,115,195,615,75
Volume,400,0,0,0,0,0,0,0,0,0,0,0,0
Volume,430,0,0,0,0,0,0,0,0,0,0,0,0
Volume,450,0,0,0,0,0,0,0,0,0,0,0,0
Volume,120,0,5,0,155,10,300,0,765,20,65,545,0
