[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,595,320,245,0,0,210,0,1120,15,95,970,0
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,0,0,0,0,0,0,0,1130,0,0,1215,0
Volume,420,0,0,0,0,0,0,0,0,0,0,0,0
Volume,440,0,0,0,0,0,0,0,0,0,0,0,0
Volume,200,40,25,25,105,15,230,5,860,130,205,985,20
Volume,130,105,40,285,90,35,50,250,735,45,85,890,45
Volume,400,0,0,0,0,0,0,0,0,0,0,0,0
Volume,430,0,0,0,0,0,0,0,0,0,0,0,0
Volume,450,0,0,0,0,0,0,0,0,0,0,0,0
Volume,120,0,10,0,45,5,125,0,870,135,210,905,0
