[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,570,210,140,0,0,135,0,660,10,60,810,0
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,0,0,0,0,0,0,0,665,0,0,950,0
Volume,420,0,0,0,0,0,0,0,0,0,0,0,0
Volume,440,0,0,0,0,0,0,0,0,0,0,0,0
Volume,200,10,15,0,70,10,150,0,505,85,135,810,10
Volume,130,20,15,5,110,10,10,140,640,10,40,795,30
Volume,400,0,0,0,0,0,0,0,0,0,0,0,0
Volume,430,0,0,0,0,0,0,0,0,0,0,0,0
Volume,450,0,0,0,0,0,0,0,0,0,0,0,0
Volume,120,0,5,0,40,5,120,0,465,70,135,740,0
