[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,0,0,180,60,0,0,260,250,85,0,175,0
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,0,0,0,0,0,0,0,595,0,0,415,0
Volume,420,0,0,0,130,0,70,0,25,180,75,15,0
Volume,440,0,480,5,35,405,0,25,0,35,0,0,0
Volume,200,425,40,65,0,30,0,25,165,0,0,10,400
Volume,130,0,0,0,50,0,140,0,0,35,100,0,0
Volume,400,0,135,0,0,185,0,0,0,0,0,0,0
Volume,430,90,40,15,0,35,35,50,35,0,40,5,100
Volume,450,10,120,0,35,65,35,0,5,140,10,0,10
Volume,120,210,40,35,0,30,0,55,-15,0,0,15,60
