[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,0,0,205,70,0,0,185,175,60,0,195,0
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,0,0,0,0,0,0,0,420,0,0,470,0
Volume,420,0,0,0,140,0,80,0,25,140,75,15,0
Volume,440,0,420,5,40,475,0,20,0,40,0,0,0
Volume,200,390,25,60,0,30,0,30,30,0,0,0,465
Volume,130,0,0,0,35,0,105,0,0,40,110,0,0
Volume,400,0,145,0,0,140,0,0,0,0,0,0,0
Volume,430,115,25,10,0,35,40,15,0,0,25,0,95
Volume,450,10,55,0,20,60,30,0,5,25,10,0,10
Volume,120,60,25,25,0,30,0,45,0,0,0,20,40
