[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,0,0,380,0,0,0,0,470,0,0,505,0
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,0,0,0,0,0,0,0,470,0,0,880,0
Volume,420,0,0,0,240,0,115,0,30,165,70,20,0
Volume,440,0,350,0,95,625,0,0,0,70,0,0,0
Volume,200,380,30,25,0,65,0,45,90,0,0,235,645
Volume,130,0,0,0,40,0,120,0,0,70,195,0,0
Volume,400,0,265,0,0,165,0,0,0,0,0,0,0
Volume,430,160,45,55,0,70,55,20,5,0,20,45,90
Volume,450,25,60,0,170,140,15,0,5,45,10,0,20
Volume,120,90,30,20,0,65,0,25,45,0,0,25,235
