[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,280,1395,560,280,2295,35,820,715,175,205,885,415
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,0,0,0,0,0,0,0,1715,0,0,1665,0
Volume,420,0,0,0,240,0,115,0,30,165,70,20,0
Volume,440,0,350,0,95,625,0,0,0,70,0,0,0
Volume,200,385,35,35,65,90,220,65,1110,35,135,780,755
Volume,130,40,40,185,80,25,165,185,520,185,390,615,75
Volume,400,0,265,0,0,165,0,0,0,0,0,0,0
Volume,430,160,45,55,0,70,55,20,5,0,20,45,90
Volume,450,25,60,0,170,140,15,0,5,45,10,0,20
Volume,120,90,35,20,155,75,300,25,810,20,65,570,235
