[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,595,2745,425,250,1880,100,560,990,280,320,1045,185
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,0,0,0,0,0,0,0,1830,0,0,1720,0
Volume,420,0,0,0,130,0,70,0,25,180,75,15,0
Volume,440,0,480,5,35,405,0,25,0,35,0,0,0
Volume,200,465,65,95,105,45,335,30,1030,145,310,995,425
Volume,130,105,40,285,140,35,190,250,735,80,185,890,45
Volume,400,0,135,0,0,185,0,0,0,0,0,0,0
Volume,430,90,40,15,0,35,35,50,35,0,40,5,100
Volume,450,10,120,0,35,65,35,0,5,140,10,0,10
Volume,120,210,50,35,45,35,125,55,855,135,210,920,60
