[Lanes]
Lane Group Data
RECORDNAME,INTID,EBL,EBT,EBR,WBL,WBT,WBR,NBL,NBT,NBR,SBL,SBT,SBR
Volume,100,570,1615,340,195,1600,85,395,590,165,285,940,205
Volume,410,0,0,0,0,0,0,0,0,0,0,0,0
Volume,110,0,0,0,0,0,0,0,1155,0,0,1480,0
Volume,420,0,0,0,140,0,80,0,25,140,75,15,0
Volume,440,0,420,5,40,475,0,20,0,40,0,0,0
Volume,200,405,40,65,70,40,220,35,530,95,200,805,475
Volume,130,20,15,5,145,10,115,140,640,45,145,795,30
Volume,400,0,145,0,0,140,0,0,0,0,0,0,0
Volume,430,115,25,10,0,35,40,15,0,0,25,0,95
Volume,450,10,55,0,20,60,30,0,5,25,10,0,10
Volume,120,60,30,25,40,40,120,45,465,70,135,755,40
