[Lanes],,,,,,,,,,,,,
Lane Group Data,,,,,,,,,,,,,
RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR
Volume,110,0,169,53,7,105,0,0,0,0,12,0,6
HeavyVehicles,110,0,2,2,0,6,0,0,0,0,0,0,17
PHF,110.00,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
Volume,100,55,111,59,55,53,56,54,720,18,65,814,44
HeavyVehicles,100,0,0,2,2,2,7,2,2,0,0,3,7
PHF,100.00,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
Volume,120,0,0,0,1,0,7,17,29,0,0,12,1
HeavyVehicles,120,0,0,0,100,0,14,0,3,0,0,0,100
PHF,120.00,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
Volume,200,0,0,0,0,0,0,0,834,0,0,923,0
HeavyVehicles,200,0,0,0,0,0,0,0,0,0,0,0,0
PHF,200.00,,,,,,,,,,,,
